                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 2.1756,                 1.7758,                 0.9652,                0.34748,                0.36168,                0.28644,                0.09976,                 2.2762,                 1.8961,                0.97947,              0.0077626,              0.0077626,              0.0077626
                    115,                 2.1786,                 1.7709,                0.95729,                0.35138,                0.34568,                0.27932,                0.09617,                 2.3145,                 1.8887,                0.98597,              0.0077428,              0.0077428,              0.0077428
                    116,                 2.1778,                 1.7806,                0.96389,                0.34241,                0.35422,                0.28159,                0.09735,                 2.2993,                 1.8747,                0.98204,               0.007723,               0.007723,               0.007723
                    117,                 2.1688,                 1.7775,                0.95903,                0.31038,                0.37418,                0.27535,                0.09429,                 2.3183,                 1.9141,                0.98726,              0.0077032,              0.0077032,              0.0077032
                    118,                   2.17,                 1.7683,                 0.9656,                0.31017,                0.37715,                 0.2722,                0.09555,                  2.309,                 1.8769,                0.98426,              0.0076834,              0.0076834,              0.0076834
                    119,                 2.1677,                 1.7618,                0.96189,                0.34063,                 0.3578,                0.29614,                0.10325,                 2.2936,                 1.8855,                0.98031,              0.0076636,              0.0076636,              0.0076636
                    120,                 2.1613,                 1.7534,                0.96515,                0.29718,                0.37279,                0.26582,                0.09435,                 2.3022,                 1.8964,                0.98322,              0.0076438,              0.0076438,              0.0076438
                    121,                  2.166,                 1.7571,                0.96758,                0.35824,                0.37902,                0.29634,                0.10306,                 2.3149,                 1.8891,                0.98111,               0.007624,               0.007624,               0.007624
                    122,                 2.1494,                 1.7245,                0.96041,                0.34003,                0.38696,                0.28216,                0.09527,                 2.3465,                  1.892,                0.98754,              0.0076042,              0.0076042,              0.0076042
                    123,                 2.1589,                 1.7326,                0.95825,                0.38363,                0.33781,                 0.2988,                0.10323,                 2.2968,                 1.8919,                 0.9801,              0.0075844,              0.0075844,              0.0075844
                    124,                 2.1601,                 1.7505,                0.96202,                0.35837,                0.36602,                0.30029,                0.10408,                 2.3143,                  1.861,                0.98282,              0.0075646,              0.0075646,              0.0075646
